???,?????,??????????,???????,??????? ??????????????,????????????,???????????,??????,????? ???????? ??????????,??????? ???????? ??????????,????? ???????????? ??????????,??????? ??????????? ??????????,?????
track67,0,6,0,0,0,0,0,0,0,0,0,0
track68,11160,27,0,413.3333333,8580,0,8580,20426.66667,756.5432099,75069600,1667.439821,11160
track69,4380,26,0,168.4615385,3240,0,3240,8086.153846,311.0059172,11059338.46,652.1956544,4380
track70,0,17,0,0,0,0,0,0,0,0,0,0
track71,0,16,0,0,0,0,0,0,0,0,0,0
track72,9000,18,0,500,7980,0,7980,15880,882.2222222,60105600,1827.347805,9000
track73,20640,33,0,625.4545455,20640,0,20640,40029.09091,1213.002755,413100218.2,3538.105203,20640
track74,0,5,0,0,0,0,0,0,0,0,0,0
track75,0,18,0,0,0,0,0,0,0,0,0,0
track76,480,17,0,28.23529412,300,0,300,790.5882353,46.50519031,94447.05882,74.53663088,480
track77,7080,9,0,786.6666667,7080,0,7080,12586.66667,1398.518519,44556800,2225.029338,7080
track78,0,3,0,0,0,0,0,0,0,0,0,0
track79,0,11,0,0,0,0,0,0,0,0,0,0
track80,18660,33,0,565.4545455,8280,0,8280,33087.27273,1002.644628,108655418.2,1814.549098,18660
track81,9180,22,0,417.2727273,5760,0,5760,16690.90909,758.677686,41043436.36,1365.873619,9180
track82,0,9,0,0,0,0,0,0,0,0,0,0
track83,2220,15,0,148,2220,0,2220,4144,276.2666667,4599840,553.7652932,2220
track84,2460,6,0,410,2460,0,2460,4100,683.3333333,5043000,916.7878708,2460
track85,6720,27,0,248.8888889,4560,0,4560,12444.44444,460.9053498,23786666.67,938.6094259,6720
track86,420,26,0,16.15384615,420,0,420,807.6923077,31.06508876,169615.3846,80.76923077,420
track87,0,17,0,0,0,0,0,0,0,0,0,0
track88,0,16,0,0,0,0,0,0,0,0,0,0
track89,4560,18,0,253.3333333,2940,0,2940,8106.666667,450.3703704,10112800,749.548012,4560
track90,12000,33,0,363.6363636,12000,0,12000,23272.72727,705.2341598,139636363.6,2057.037909,12000
track91,0,5,0,0,0,0,0,0,0,0,0,0
track92,3060,18,0,170,3060,0,3060,5780,321.1111111,8843400,700.9279564,3060
track93,5700,17,2460,335.2941176,3120,0,3120,9818.823529,577.5778547,13889223.53,903.8877966,5700
track94,5280,9,0,586.6666667,5280,0,5280,9386.666667,1042.962963,24780800,1659.343913,5280
track95,0,3,0,0,0,0,0,0,0,0,0,0
track96,480,11,0,43.63636364,420,0,420,785.4545455,71.40495868,159054.5455,120.2476783,480
track97,18660,33,0,565.4545455,10080,0,10080,33927.27273,1028.099174,128657018.2,1974.51197,18660
track98,17220,22,0,782.7272727,13800,0,13800,31309.09091,1423.140496,188657836.4,2928.370912,17220
track99,0,9,0,0,0,0,0,0,0,0,0,0
track100,15000,15,0,1000,12900,0,12900,26000,1733.333333,155820000,3223.042041,15000
track101,0,6,0,0,0,0,0,0,0,0,0,0
track102,11340,27,0,420,8760,0,8760,20760,768.8888889,78040800,1700.117643,11340
track103,420,26,0,16.15384615,420,0,420,807.6923077,31.06508876,169615.3846,80.76923077,420
track104,0,17,0,0,0,0,0,0,0,0,0,0
track105,0,16,0,0,0,0,0,0,0,0,0,0
track106,480,18,0,26.66666667,480,0,480,906.6666667,50.37037037,217600,109.9494833,480
track107,360,33,0,10.90909091,360,0,360,698.1818182,21.15702479,125672.7273,61.71113727,360
track108,0,5,0,0,0,0,0,0,0,0,0,0
track109,12840,18,0,713.3333333,12540,0,12540,23653.33333,1314.074074,148182400,2869.208176,12840
track110,13320,17,0,783.5294118,12600,0,12600,23632.94118,1390.17301,148697788.2,2957.520705,13320
track111,5280,9,0,586.6666667,5280,0,5280,9386.666667,1042.962963,24780800,1659.343913,5280
track112,0,3,0,0,0,0,0,0,0,0,0,0
track113,3900,11,0,354.5454545,3900,0,3900,7090.909091,644.6280992,13827272.73,1121.17117,3900
track114,20520,33,0,621.8181818,15600,0,15600,38552.72727,1168.264463,254806690.9,2778.743399,20520
track115,22020,22,0,1000.909091,21240,0,21240,40478.18182,1839.917355,429705981.8,4419.512426,22020
track116,0,9,0,0,0,0,0,0,0,0,0,0
track117,14760,15,0,984,13560,0,13560,25584,1705.6,170789760,3374.312374,14760
track118,0,6,0,0,0,0,0,0,0,0,0,0
track119,8640,27,0,320,5280,0,5280,16000,592.5925926,36403200,1161.148856,8640
track120,0,26,0,0,0,0,0,0,0,0,0,0
track121,3420,17,0,201.1764706,3420,0,3420,6437.647059,378.6851211,11008376.47,804.7058824,3420
track122,0,16,0,0,0,0,0,0,0,0,0,0
track123,12420,18,0,690,8700,0,8700,22080,1226.666667,80958600,2120.778159,12420
track124,6900,33,0,209.0909091,6720,0,6720,13021.81818,394.600551,43748072.73,1151.390105,6900
track125,0,5,0,0,0,0,0,0,0,0,0,0
track126,3060,18,0,170,3060,0,3060,5780,321.1111111,8843400,700.9279564,3060
track127,3540,17,0,208.2352941,3120,0,3120,6007.058824,353.3564014,9101647.059,731.7041776,3540
track128,5280,9,0,586.6666667,5280,0,5280,9386.666667,1042.962963,24780800,1659.343913,5280
track129,0,3,0,0,0,0,0,0,0,0,0,0
track130,0,11,0,0,0,0,0,0,0,0,0,0
track131,22080,33,0,669.0909091,12060,0,12060,38807.27273,1175.977961,181390472.7,2344.500158,22080
track132,3420,22,0,155.4545455,3420,0,3420,6529.090909,296.7768595,11164745.45,712.3822217,3420
track133,0,9,0,0,0,0,0,0,0,0,0,0
track134,14340,15,0,956,9780,0,9780,22944,1529.6,92400960,2481.947622,14340
track135,0,6,0,0,0,0,0,0,0,0,0,0
track136,15240,27,0,564.4444444,14460,0,14460,28222.22222,1045.26749,201097866.7,2729.115083,15240
track137,0,26,0,0,0,0,0,0,0,0,0,0
track138,6720,17,0,395.2941176,3420,0,3420,11858.82353,697.5778547,19930023.53,1082.753123,6720
track139,0,16,0,0,0,0,0,0,0,0,0,0
track140,0,18,0,0,0,0,0,0,0,0,0,0
track141,0,33,0,0,0,0,0,0,0,0,0,0
track142,0,5,0,0,0,0,0,0,0,0,0,0
track143,10080,18,0,560,10080,0,10080,19040,1057.777778,95961600,2308.93915,10080
track144,10560,17,0,621.1764706,10140,0,10140,19037.64706,1119.861592,96364376.47,2380.859663,10560
track145,5280,9,0,586.6666667,5280,0,5280,9386.666667,1042.962963,24780800,1659.343913,5280
track146,0,3,0,0,0,0,0,0,0,0,0,0
track147,1740,11,0,158.1818182,1740,0,1740,3163.636364,287.6033058,2752363.636,500.2148299,1740
track148,14640,33,0,443.6363636,9720,0,9720,27505.45455,833.4986226,112189963.6,1843.82642,14640
track149,23940,22,0,1088.181818,18780,0,18780,43527.27273,1978.512397,353262927.3,4007.169298,23940
track150,0,9,0,0,0,0,0,0,0,0,0,0
track151,17640,15,0,1176,17160,0,17160,31968,2131.2,273951360,4273.572744,17640
track152,0,6,0,0,0,0,0,0,0,0,0,0
track153,9420,27,0,348.8888889,4800,0,4800,17444.44444,646.090535,41097866.67,1233.751681,9420
track154,0,26,0,0,0,0,0,0,0,0,0,0
track155,3420,17,0,201.1764706,3420,0,3420,6437.647059,378.6851211,11008376.47,804.7058824,3420
track156,0,16,0,0,0,0,0,0,0,0,0,0
track157,780,18,0,43.33333333,780,0,780,1473.333333,81.85185185,574600,178.6679104,780
track158,6900,33,0,209.0909091,6900,0,6900,13381.81818,405.5096419,46167272.73,1182.796798,6900
track159,0,5,0,0,0,0,0,0,0,0,0,0
track160,10080,18,0,560,10080,0,10080,19040,1057.777778,95961600,2308.93915,10080
track161,14340,17,0,843.5294118,13920,0,13920,26152.94118,1538.408304,181774588.2,3269.95762,14340
track162,5280,9,0,586.6666667,5280,0,5280,9386.666667,1042.962963,24780800,1659.343913,5280
track163,0,3,0,0,0,0,0,0,0,0,0,0
track164,1860,11,0,169.0909091,1860,0,1860,3381.818182,307.4380165,3145090.909,534.7124044,1860
track165,22740,33,0,689.0909091,17820,0,17820,42723.63636,1294.655647,326088872.7,3143.482303,22740
track166,23040,22,0,1047.272727,22560,0,22560,43025.45455,1955.702479,485054836.4,4695.524157,23040
track167,0,9,0,0,0,0,0,0,0,0,0,0
